damage_count,affected_kk,total_population,disaster_type,severity_level,emergency_duration_days,vulnerability_index,qty_beras_kg,qty_minyak_liter,qty_gula_kg,qty_indomie_pcs,qty_biskuit_pack,qty_sarden_pcs,qty_kornet_pcs,qty_susu_cair_pcs,qty_susu_bubuk_box,qty_matras_pcs,qty_kasur_lipat_pcs,qty_karpet_pcs,qty_kompor_set,qty_kipas_pcs
485,542,2567,Tanah Longsor,4,3,0.25,850.3,138.7,154.3,795,648,173,161,164,170,585,585,585,468,117
307,345,2030,Angin Kencang,1,5,0.28,923.8,153.6,178.7,854,669,165,162,175,179,290,290,290,232,145
135,153,12586,Banjir,4,14,0.56,1069.9,216.7,210.8,1080,919,215,220,220,215,165,165,165,132,83
21,21,10856,Gempa Bumi,4,3,0.93,30.2,6.7,6.5,34,24,7,6,6,6,23,23,23,18,5
329,385,1919,Gempa Bumi,1,10,0.21,1905.8,354.5,383.6,1817,1633,410,372,402,383,323,323,323,259,65
167,187,13899,Tanah Longsor,1,3,0.37,268.4,58.6,58.3,268,211,56,59,58,54,157,157,157,126,31
274,328,12298,Angin Kencang,4,3,0.87,514.7,93.9,104.2,471,374,98,102,104,97,354,354,354,283,177
388,467,8844,Gempa Bumi,4,3,0.56,680.4,146.9,143.2,695,505,153,148,138,140,504,504,504,403,101
89,94,12952,Gempa Bumi,5,5,0.32,230.5,46.3,46.7,250,197,43,48,49,45,109,109,109,87,22
316,320,6228,Tanah Longsor,1,3,0.42,461.9,97.9,93.8,444,401,97,97,97,95,269,269,269,215,54
14,16,11016,Gempa Bumi,4,10,0.8,85.2,15.3,16.0,85,61,16,16,16,17,17,17,17,14,3
242,301,14708,Gempa Bumi,1,3,0.51,468.2,93.1,88.8,472,382,85,83,91,90,253,253,253,202,51
265,295,9582,Tanah Longsor,1,3,0.66,475.9,83.6,84.9,405,327,85,81,88,83,248,248,248,198,50
346,368,14384,Banjir,3,3,0.9,580.8,111.0,109.0,671,459,109,107,106,115,368,368,368,294,184
53,55,2236,Tanah Longsor,3,1,0.5,28.0,5.6,5.4,29,22,5,6,5,6,55,55,55,44,11
386,414,11193,Banjir,5,7,0.22,1550.0,277.0,279.8,1473,1139,275,266,282,275,480,480,480,384,240
340,368,14011,Banjir,3,5,0.5,958.2,168.5,176.9,879,693,179,174,184,192,368,368,368,294,184
92,102,7292,Banjir,2,5,0.68,243.1,55.1,51.3,261,219,48,53,51,47,94,94,94,75,47
367,427,5460,Banjir,4,1,0.41,213.3,46.5,42.3,223,165,44,46,43,43,461,461,461,369,231
444,474,13384,Angin Kencang,5,5,0.96,1182.2,219.9,235.6,1304,951,235,256,222,255,550,550,550,440,275
455,461,4905,Tsunami,4,1,0.26,222.1,48.8,44.3,238,193,41,48,49,48,498,498,498,398,100
428,468,8548,Banjir,1,7,0.54,1659.4,343.4,328.1,1830,1308,324,341,322,317,393,393,393,314,197
264,320,13316,Banjir,2,7,0.7,1177.5,229.0,222.0,1053,910,223,227,224,205,294,294,294,236,147
431,485,2072,Gempa Bumi,5,10,0.65,2412.2,510.2,473.0,2217,1787,494,522,475,488,563,563,563,450,113
35,43,8975,Banjir,5,7,0.96,147.9,29.4,29.5,157,114,31,29,28,30,50,50,50,40,25
206,232,14921,Gempa Bumi,4,5,0.63,586.3,119.2,118.0,607,517,115,118,118,116,251,251,251,200,50
81,87,2047,Banjir,3,5,0.3,212.3,45.9,42.3,226,205,42,47,44,46,87,87,87,70,44
420,440,1943,Gempa Bumi,1,5,0.89,1083.9,227.7,228.1,1150,942,217,199,215,212,370,370,370,296,74
50,59,14373,Banjir,2,5,0.88,145.0,30.1,30.8,156,115,26,31,29,28,54,54,54,43,27
360,408,9024,Gempa Bumi,2,5,0.9,972.8,194.6,200.0,934,810,203,206,207,207,375,375,375,300,75
388,447,2273,Tanah Longsor,1,3,0.46,711.5,135.8,134.5,701,525,133,142,137,141,375,375,375,300,75
2,2,5792,Banjir,3,7,0.97,7.0,1.3,1.4,7,5,1,1,1,1,2,2,2,2,1
390,461,6765,Angin Kencang,5,3,0.82,727.6,138.0,131.1,645,530,141,135,141,138,535,535,535,428,267
54,55,7737,Banjir,3,1,0.73,26.8,5.3,5.6,24,23,6,6,5,5,55,55,55,44,28
106,127,9896,Banjir,5,3,0.69,184.2,37.8,37.1,178,149,38,37,38,36,147,147,147,118,74
260,295,12461,Banjir,1,7,0.81,1068.4,202.5,210.7,1064,876,193,195,201,201,248,248,248,198,124
310,340,1649,Banjir,1,3,0.36,515.8,111.7,99.8,498,442,108,113,98,107,286,286,286,228,143
477,541,5655,Gempa Bumi,1,3,0.88,816.7,158.5,156.0,736,699,161,162,164,164,454,454,454,364,91
191,220,11455,Tanah Longsor,4,5,0.49,545.7,109.8,110.6,510,401,106,103,114,109,238,238,238,190,48
402,417,11202,Tsunami,5,7,0.8,1532.3,271.9,300.7,1566,1154,305,303,277,311,484,484,484,387,97
218,241,8551,Banjir,5,3,0.79,353.0,71.5,73.6,375,299,78,75,74,73,280,280,280,224,140
44,48,4767,Tanah Longsor,2,1,0.21,25.0,4.8,4.9,23,19,5,5,5,5,44,44,44,35,9
162,176,11849,Banjir,1,7,0.69,649.6,118.3,117.5,627,455,122,115,121,120,148,148,148,118,74
202,207,3081,Banjir,5,7,0.52,727.5,153.2,146.9,740,600,140,144,148,147,240,240,240,192,120
446,464,2395,Gempa Bumi,1,3,0.44,708.5,142.9,137.8,707,585,141,134,139,137,390,390,390,312,78
484,504,12544,Tanah Longsor,5,3,0.86,745.8,151.7,157.9,742,598,169,149,161,142,585,585,585,468,117
270,295,3333,Banjir,2,1,0.23,151.0,28.0,28.6,148,116,31,29,30,30,271,271,271,217,136
351,429,3234,Tsunami,2,7,0.78,1548.8,307.3,304.3,1501,1153,297,292,318,289,395,395,395,316,79
304,320,3869,Tanah Longsor,2,3,0.25,472.3,101.1,95.4,471,392,96,90,93,101,294,294,294,236,59
271,299,5806,Gempa Bumi,2,1,0.77,155.6,31.7,30.0,152,128,30,28,31,29,275,275,275,220,55
456,492,4807,Gempa Bumi,3,3,0.58,735.4,154.5,148.8,658,519,149,147,152,137,492,492,492,394,98
462,553,7031,Gempa Bumi,2,3,0.43,874.1,166.3,167.2,766,680,167,167,163,160,509,509,509,407,102
215,218,6554,Gempa Bumi,4,3,0.47,339.4,65.9,68.0,323,252,67,64,67,62,235,235,235,188,47
252,264,13134,Tanah Longsor,5,5,0.79,666.6,130.1,127.2,638,543,126,138,128,124,306,306,306,245,61
190,200,14602,Tanah Longsor,3,3,0.31,288.7,59.4,58.9,274,213,63,58,63,63,200,200,200,160,40
296,369,3065,Gempa Bumi,2,3,0.25,526.2,105.5,108.5,496,462,109,120,100,117,339,339,339,272,68
213,243,3011,Gempa Bumi,5,7,0.65,884.3,166.5,171.4,894,688,166,160,168,179,282,282,282,226,56
208,215,11241,Gempa Bumi,4,5,0.31,586.6,104.7,103.9,561,426,111,101,116,109,232,232,232,186,46
237,253,12592,Banjir,4,7,0.26,851.2,178.6,164.8,946,721,175,177,177,179,273,273,273,219,137
338,352,11294,Gempa Bumi,3,3,0.84,505.5,112.7,108.9,517,426,111,104,96,114,352,352,352,282,70
367,378,3340,Angin Kencang,1,14,0.77,2684.4,487.0,534.0,2761,2149,535,507,510,525,318,318,318,254,159
53,64,1586,Banjir,4,3,0.53,90.2,19.6,19.4,93,78,18,20,19,19,69,69,69,55,35
280,315,10762,Banjir,1,7,0.85,1102.2,234.2,221.7,1109,1029,221,226,216,213,265,265,265,212,132
410,475,8991,Gempa Bumi,4,10,0.7,2361.3,468.2,494.4,2431,1643,497,457,461,494,513,513,513,410,103
217,235,1385,Gempa Bumi,5,1,0.6,115.1,25.6,23.6,116,96,24,23,23,23,273,273,273,218,55
252,287,1299,Banjir,2,3,0.38,420.3,87.0,87.8,403,380,89,89,91,82,264,264,264,211,132
188,200,1522,Banjir,4,7,0.42,729.3,134.2,132.9,651,608,133,139,138,150,216,216,216,173,108
380,409,7900,Gempa Bumi,1,3,0.52,611.1,112.2,123.4,547,515,124,107,126,119,344,344,344,275,69
493,573,5843,Gempa Bumi,5,5,0.77,1355.3,269.2,289.2,1361,1208,277,299,288,273,665,665,665,532,133
41,43,8423,Tanah Longsor,4,7,0.71,144.1,31.0,30.8,140,119,29,28,29,31,46,46,46,37,9
157,181,8054,Tanah Longsor,2,7,0.47,622.0,121.2,120.5,584,520,121,117,127,128,167,167,167,133,33
15,18,1592,Angin Kencang,1,3,0.97,27.5,5.4,5.3,27,22,5,5,5,5,15,15,15,12,8
301,310,7837,Gempa Bumi,2,5,0.53,738.8,154.1,153.8,799,600,154,149,147,149,285,285,285,228,57
65,80,1577,Banjir,1,1,0.25,40.1,8.0,7.1,38,33,9,9,8,8,67,67,67,54,34
345,352,10750,Banjir,5,1,0.61,179.7,37.1,33.8,192,139,31,36,34,37,408,408,408,327,204
327,356,4744,Tsunami,5,3,0.92,539.8,106.3,110.4,553,450,101,109,112,115,413,413,413,330,83
9,10,8203,Banjir,3,7,0.63,35.2,7.0,7.1,38,27,7,7,7,7,10,10,10,8,5
344,392,6104,Gempa Bumi,5,5,0.89,936.0,187.8,202.4,970,816,170,194,187,197,455,455,455,364,91
129,132,4134,Gempa Bumi,4,7,0.26,491.2,98.3,87.4,491,378,96,85,90,92,143,143,143,114,29
492,590,12846,Angin Kencang,5,7,0.9,2061.8,374.0,409.5,2105,1587,448,424,423,423,684,684,684,548,342
136,169,11308,Tanah Longsor,4,3,0.8,248.8,50.1,52.3,251,209,51,49,52,47,183,183,183,146,37
472,493,7215,Banjir,2,3,0.85,742.3,156.1,144.4,773,612,140,146,158,152,454,454,454,363,227
63,77,7528,Gempa Bumi,5,7,0.79,271.4,53.7,52.0,248,205,54,61,53,56,89,89,89,71,18
139,158,2439,Gempa Bumi,1,5,0.23,381.7,77.1,77.0,373,298,79,72,77,81,133,133,133,106,27
499,616,2700,Banjir,5,3,0.89,950.7,179.1,183.9,996,763,187,161,192,183,715,715,715,572,357
81,85,12625,Banjir,5,1,0.23,43.8,9.1,8.7,45,35,9,9,9,9,99,99,99,79,49
392,470,14379,Gempa Bumi,2,10,0.51,2377.6,485.1,456.8,2487,1895,456,474,458,458,432,432,432,346,86
163,165,14453,Angin Kencang,3,1,0.67,83.6,17.2,15.9,92,60,17,18,17,16,165,165,165,132,82
419,512,2758,Tsunami,1,5,0.26,1309.5,236.4,262.0,1415,1097,245,244,265,264,430,430,430,344,86
289,338,11408,Banjir,5,1,0.77,176.3,31.1,33.6,176,138,30,36,34,34,392,392,392,314,196
379,414,8865,Gempa Bumi,1,1,0.39,221.3,39.8,40.6,205,164,42,42,40,41,348,348,348,278,70
261,273,8888,Tsunami,5,7,0.44,939.6,184.6,194.3,953,717,188,185,183,192,317,317,317,253,63
490,590,8501,Gempa Bumi,3,7,0.48,2279.6,386.0,421.1,2024,1731,401,436,393,418,590,590,590,472,118
231,266,11514,Banjir,3,1,0.76,129.9,25.2,26.9,127,104,28,26,24,26,266,266,266,213,133
41,45,1001,Banjir,5,5,0.77,118.0,21.1,21.8,111,82,21,24,23,23,52,52,52,42,26
28,31,5205,Gempa Bumi,4,3,0.51,45.3,9.4,9.4,50,35,10,9,9,9,33,33,33,27,7
135,163,1697,Gempa Bumi,2,7,0.62,611.5,121.9,110.6,549,469,121,99,116,119,150,150,150,120,30
201,218,1580,Gempa Bumi,4,3,0.84,300.5,66.8,66.0,325,274,62,68,64,68,235,235,235,188,47
328,335,9894,Tanah Longsor,4,5,0.27,766.9,168.7,163.5,755,627,170,156,162,173,362,362,362,289,72
268,329,14518,Gempa Bumi,3,5,0.89,789.9,166.7,163.0,783,680,173,155,164,168,329,329,329,263,66
418,458,9709,Tanah Longsor,1,3,0.76,695.4,127.1,127.9,710,545,139,141,141,133,385,385,385,308,77
33,36,6903,Banjir,5,3,0.8,55.3,10.4,11.2,54,41,11,10,11,11,42,42,42,33,21
48,50,684,Banjir,1,7,0.48,182.6,33.7,34.4,170,137,32,35,35,38,42,42,42,34,21
407,498,4671,Tanah Longsor,1,7,0.78,1671.0,359.8,355.5,1621,1447,349,337,343,344,418,418,418,335,84
62,65,5232,Angin Kencang,2,3,0.28,102.2,18.2,19.4,99,80,20,19,18,19,60,60,60,48,30
216,250,9651,Banjir,3,3,0.26,365.8,70.2,70.9,381,315,78,74,75,71,250,250,250,200,125
293,358,4783,Banjir,3,5,0.45,868.7,176.7,189.1,870,719,172,171,181,182,358,358,358,286,179
99,100,11391,Banjir,5,7,0.61,355.0,62.7,69.0,316,281,73,68,70,71,116,116,116,93,58
172,208,13889,Banjir,5,5,0.54,500.1,107.8,102.8,498,457,99,94,102,111,241,241,241,193,121
360,397,2210,Gempa Bumi,5,3,0.64,598.4,109.5,120.5,624,457,120,127,113,122,461,461,461,368,92
214,249,3592,Gempa Bumi,4,7,0.21,865.4,166.3,169.8,912,704,165,184,180,177,269,269,269,215,54
475,519,2386,Angin Kencang,3,3,0.43,764.6,151.4,156.1,827,633,172,173,147,156,519,519,519,415,260
35,41,3331,Angin Kencang,4,3,0.53,62.4,11.7,12.2,63,48,13,13,12,12,44,44,44,35,22
449,478,4520,Angin Kencang,4,5,0.35,1220.7,235.7,243.6,1287,981,221,228,223,231,516,516,516,413,258
227,228,12244,Banjir,1,3,0.38,354.6,62.4,67.4,356,282,67,65,69,66,192,192,192,153,96
101,125,9868,Gempa Bumi,3,3,0.45,190.3,36.4,35.9,202,146,37,39,39,37,125,125,125,100,25
431,433,12539,Gempa Bumi,1,7,0.66,1437.3,293.4,301.2,1470,1124,288,313,323,302,364,364,364,291,73
462,557,7980,Gempa Bumi,3,3,0.79,844.5,181.5,161.6,809,664,165,166,171,168,557,557,557,446,111
131,137,1583,Banjir,1,14,0.26,946.8,200.2,199.5,1066,790,173,189,196,193,115,115,115,92,58
257,282,3058,Banjir,1,3,0.28,451.3,85.2,87.8,430,332,72,86,83,83,237,237,237,190,118
5,6,9123,Banjir,1,3,0.33,9.1,1.8,1.9,9,8,2,2,2,2,5,5,5,4,3
218,229,14785,Banjir,2,3,0.63,352.0,71.6,68.3,318,265,70,76,71,66,211,211,211,169,105
255,310,10399,Banjir,4,7,0.57,1101.9,218.1,219.4,1078,871,204,219,213,212,335,335,335,268,167
398,448,10139,Tanah Longsor,5,10,0.7,2236.4,454.1,440.9,2195,1684,434,432,436,473,520,520,520,416,104
359,392,6767,Tanah Longsor,5,5,0.81,965.7,190.6,193.5,996,755,202,194,189,193,455,455,455,364,91
283,330,2289,Gempa Bumi,1,1,0.85,170.5,32.1,33.8,165,132,34,33,34,32,277,277,277,222,55
393,427,5740,Angin Kencang,5,3,0.76,587.2,121.1,129.5,622,546,133,115,129,127,495,495,495,396,248
207,225,9371,Gempa Bumi,4,7,0.25,758.2,161.0,158.8,795,640,165,148,149,151,243,243,243,194,49
15,18,13918,Banjir,3,1,0.94,9.0,1.7,1.7,9,7,2,2,2,2,18,18,18,14,9
346,373,12810,Gempa Bumi,4,3,0.24,563.1,101.5,112.1,556,436,119,105,111,110,403,403,403,322,81
42,44,4620,Banjir,1,3,0.64,64.8,13.0,13.6,71,50,12,13,13,13,37,37,37,30,18
380,457,6678,Tanah Longsor,3,10,0.35,2213.0,454.8,459.8,2259,1885,462,448,458,457,457,457,457,366,91
461,554,4917,Gempa Bumi,2,10,0.59,2914.2,528.9,537.1,2749,2138,574,506,576,540,510,510,510,408,102
179,201,8508,Tsunami,2,5,0.51,521.7,103.3,98.4,503,416,105,109,102,95,185,185,185,148,37
63,71,780,Gempa Bumi,1,1,0.96,36.6,7.2,7.3,32,27,6,7,7,7,60,60,60,48,12
352,413,2345,Tanah Longsor,2,3,0.57,649.8,131.2,122.5,603,451,124,130,125,120,380,380,380,304,76
231,260,10689,Tanah Longsor,2,1,0.5,127.9,27.7,28.2,132,101,24,26,25,25,239,239,239,191,48
241,266,9902,Banjir,3,1,0.57,130.9,25.1,25.4,137,104,27,26,25,24,266,266,266,213,133
52,65,5186,Angin Kencang,5,5,0.76,164.6,34.2,32.7,154,125,37,31,34,33,75,75,75,60,38
96,100,850,Gempa Bumi,5,5,0.38,264.2,50.0,50.4,267,212,50,53,47,49,116,116,116,93,23
388,445,1966,Banjir,4,7,0.43,1467.6,322.5,314.0,1445,1253,320,308,324,316,481,481,481,384,240
222,271,3775,Banjir,2,7,0.38,979.8,193.1,198.6,988,759,186,190,194,202,249,249,249,199,125
485,568,14325,Tanah Longsor,1,3,0.87,867.1,185.9,174.0,840,651,170,163,160,173,477,477,477,382,95
407,497,8222,Gempa Bumi,5,3,0.51,678.4,151.4,144.7,721,611,156,157,153,139,577,577,577,461,115
231,250,12918,Banjir,3,14,0.57,1732.8,353.8,344.3,1751,1391,351,371,334,345,250,250,250,200,125
237,253,2008,Banjir,2,7,0.27,884.0,185.1,184.3,785,742,170,165,176,172,233,233,233,186,116
143,173,1616,Gempa Bumi,2,5,0.97,435.0,92.8,85.1,466,345,80,92,87,82,159,159,159,127,32
171,188,13323,Banjir,5,14,0.36,1333.1,257.0,273.6,1300,1103,251,247,263,264,218,218,218,174,109
29,34,2981,Tsunami,1,3,0.7,54.2,10.3,10.3,50,43,9,11,10,10,29,29,29,23,6
36,37,1975,Banjir,5,3,0.81,57.9,11.3,11.3,55,44,10,11,10,11,43,43,43,34,21
13,15,3221,Banjir,3,14,0.77,113.4,20.9,20.7,106,82,23,19,22,22,15,15,15,12,8
160,182,5605,Banjir,3,5,0.8,416.3,77.8,86.1,401,368,92,92,91,95,182,182,182,146,91
327,349,6182,Angin Kencang,5,7,0.68,1169.2,238.6,240.1,945,1070,242,227,234,234,405,405,405,324,202
187,210,3844,Banjir,2,7,0.53,756.6,133.3,145.6,691,602,128,148,143,147,193,193,193,155,97
243,285,8584,Gempa Bumi,3,5,0.65,724.8,156.0,135.9,720,584,132,136,139,143,285,285,285,228,57
86,86,12417,Angin Kencang,1,10,0.33,409.1,92.9,86.2,472,344,87,87,82,84,72,72,72,58,36
284,329,1634,Angin Kencang,1,3,0.47,507.5,96.6,95.1,519,375,91,109,99,97,276,276,276,221,138
66,75,10633,Gempa Bumi,3,10,0.88,358.9,75.8,73.7,395,302,78,76,78,72,75,75,75,60,15
170,179,4084,Banjir,2,5,0.3,482.5,80.5,86.5,451,366,89,88,88,96,165,165,165,132,82
45,53,5359,Tanah Longsor,1,7,0.31,198.3,37.7,39.4,190,154,37,36,39,37,45,45,45,36,9
62,67,8708,Banjir,2,5,0.29,166.4,34.8,34.0,153,134,32,31,35,36,62,62,62,49,31
441,472,7359,Banjir,1,3,0.82,753.7,132.7,142.9,738,579,142,140,138,136,396,396,396,317,198
134,150,12864,Banjir,3,5,0.75,366.6,76.8,73.9,348,296,76,81,77,73,150,150,150,120,75
284,332,10736,Tanah Longsor,1,1,0.65,175.5,30.5,33.2,171,128,35,36,32,36,279,279,279,223,56
28,35,14111,Angin Kencang,2,3,0.27,52.8,9.8,10.8,55,45,11,10,11,10,32,32,32,26,16
108,112,13681,Banjir,2,5,0.67,266.9,56.0,57.0,261,234,54,59,56,55,103,103,103,82,52
44,48,611,Angin Kencang,3,5,0.58,126.2,25.0,23.8,127,93,23,24,23,24,48,48,48,38,24
340,346,13630,Gempa Bumi,3,3,0.38,532.9,104.9,100.2,543,402,102,103,108,102,346,346,346,277,69
286,340,11056,Banjir,1,5,0.3,798.0,158.7,169.9,918,650,173,168,183,163,286,286,286,228,143
446,496,12477,Tsunami,1,7,0.32,1775.2,310.6,342.6,1894,1429,347,352,366,345,417,417,417,333,83
331,389,4019,Banjir,4,5,0.4,971.2,200.9,200.8,1024,764,183,185,190,211,420,420,420,336,210
128,138,2424,Angin Kencang,4,5,0.72,360.3,71.4,68.5,302,269,69,70,74,71,149,149,149,119,75
348,421,1969,Tanah Longsor,2,3,0.58,635.0,120.4,129.8,624,536,125,121,128,135,387,387,387,310,77
473,536,13234,Tsunami,3,5,0.58,1384.4,260.5,268.9,1306,1130,262,260,247,280,536,536,536,429,107
231,285,1968,Angin Kencang,5,3,0.45,434.9,84.1,82.0,429,356,84,78,85,82,331,331,331,264,165
190,194,3161,Gempa Bumi,2,5,0.28,471.4,94.6,97.7,458,385,98,99,97,99,178,178,178,143,36
225,254,11173,Angin Kencang,2,14,0.53,1616.8,343.1,357.7,1676,1412,345,389,331,329,234,234,234,187,117
385,459,4780,Banjir,1,5,0.65,1110.1,236.4,236.2,1098,847,245,245,219,224,386,386,386,308,193
377,434,12236,Banjir,3,5,0.53,1101.0,210.5,209.8,1104,908,195,231,216,218,434,434,434,347,217
283,285,13868,Gempa Bumi,2,10,0.74,1514.1,263.6,268.3,1483,1176,273,308,277,292,262,262,262,210,52
446,554,9042,Tanah Longsor,2,3,0.87,870.3,175.5,176.2,783,678,161,168,171,166,510,510,510,408,102
121,130,10443,Banjir,2,3,0.72,212.8,41.3,40.9,177,161,36,38,35,40,120,120,120,96,60
116,123,14892,Tanah Longsor,1,5,0.55,294.0,59.2,63.6,304,251,66,58,62,65,103,103,103,83,21
